instruction_address	owner	symbol	record_index	field_offset	field_role	access	instruction
0x00406F70	sub_406F70	dword_4B7CC0	1	0x00	rapid_press_multiplicity	read	mov eax, dword_4B7CC0
0x00406F7C	sub_406F70	dword_4B7CCC	1	0x0C	continuous_down_count	read	cmp dword_4B7CCC, 1
0x00406FB4	sub_406F70	dword_4B7CE0	3	0x00	rapid_press_multiplicity	read	mov eax, dword_4B7CE0
0x00406FBD	sub_406F70	dword_4B7CEC	3	0x0C	continuous_down_count	read	mov eax, dword_4B7CEC
0x00406FCF	sub_406F70	dword_4B7D00	5	0x00	rapid_press_multiplicity	read	mov eax, dword_4B7D00
0x00406FD8	sub_406F70	dword_4B7D0C	5	0x0C	continuous_down_count	read	mov eax, dword_4B7D0C
0x00406FEC	sub_406F70	dword_4B7CF0	4	0x00	rapid_press_multiplicity	read	mov eax, dword_4B7CF0
0x00406FF5	sub_406F70	dword_4B7CFC	4	0x0C	continuous_down_count	read	mov eax, dword_4B7CFC
0x00407009	sub_406F70	dword_4B7D10	6	0x00	rapid_press_multiplicity	read	mov eax, dword_4B7D10
0x00407012	sub_406F70	dword_4B7D1C	6	0x0C	continuous_down_count	read	mov eax, dword_4B7D1C
0x00407026	sub_406F70	dword_4B7D20	7	0x00	rapid_press_multiplicity	read	mov eax, dword_4B7D20
0x0040702F	sub_406F70	dword_4B7D2C	7	0x0C	continuous_down_count	read	mov eax, dword_4B7D2C
0x00407043	sub_406F70	dword_4B7D30	8	0x00	rapid_press_multiplicity	read	mov eax, dword_4B7D30
0x0040704C	sub_406F70	dword_4B7D3C	8	0x0C	continuous_down_count	read	mov eax, dword_4B7D3C
0x004070C8	sub_4070A0	dword_4B7DA0	15	0x00	rapid_press_multiplicity	read	mov ecx, dword_4B7DA0
0x004070CE	sub_4070A0	dword_4B7DAC	15	0x0C	continuous_down_count	read	mov eax, dword_4B7DAC
0x0040719B	sub_4070A0	dword_4B7DA0	15	0x00	rapid_press_multiplicity	read	mov ecx, dword_4B7DA0
0x004071BC	sub_4070A0	dword_4B7DAC	15	0x0C	continuous_down_count	read	cmp dword_4B7DAC, ebp
0x004071EF	sub_4070A0	dword_4B7CB0	0	0x00	rapid_press_multiplicity	address_taken	mov edi, offset dword_4B7CB0
0x00407232	sub_4070A0	dword_4B7DA0	15	0x00	rapid_press_multiplicity	read	mov ecx, dword_4B7DA0
0x0040724F	sub_4070A0	dword_4B7DA0	15	0x00	rapid_press_multiplicity	read	mov ecx, dword_4B7DA0
0x0040725B	sub_4070A0	dword_4B7D90	14	0x00	rapid_press_multiplicity	read	cmp dword_4B7D90, 2
0x00407264	sub_4070A0	dword_4B7D9C	14	0x0C	continuous_down_count	read	cmp dword_4B7D9C, ebp
0x004072EC	sub_4070A0	dword_4B7DAC	15	0x0C	continuous_down_count	read	cmp dword_4B7DAC, ebp
0x0040730E	sub_4070A0	dword_4B7D90	14	0x00	rapid_press_multiplicity	read	cmp dword_4B7D90, ebp
0x00407316	sub_4070A0	dword_4B7D9C	14	0x0C	continuous_down_count	read	cmp dword_4B7D9C, ebp
0x00407325	sub_4070A0	dword_4B7CB0	0	0x00	rapid_press_multiplicity	address_taken	mov edi, offset dword_4B7CB0
0x00407361	sub_4070A0	dword_4B7DAC	15	0x0C	continuous_down_count	read	mov edx, dword_4B7DAC
0x00407370	sub_4070A0	dword_4B7D20	7	0x00	rapid_press_multiplicity	write	mov dword_4B7D20, 2
0x0040737A	sub_4070A0	dword_4B7D2C	7	0x0C	continuous_down_count	write	mov dword_4B7D2C, eax
0x004073A7	sub_4070A0	dword_4B7DAC	15	0x0C	continuous_down_count	read	cmp dword_4B7DAC, eax
0x004073AF	sub_4070A0	dword_4B7D30	8	0x00	rapid_press_multiplicity	write	mov dword_4B7D30, eax
0x004073B4	sub_4070A0	dword_4B7D3C	8	0x0C	continuous_down_count	write	mov dword_4B7D3C, eax
0x004073C1	sub_4070A0	dword_4B7CE0	3	0x00	rapid_press_multiplicity	read	mov eax, dword_4B7CE0
0x004073E3	sub_4070A0	dword_4B7CF0	4	0x00	rapid_press_multiplicity	read	cmp dword_4B7CF0, ebp
0x004074FF	sub_4070A0	dword_4B7D00	5	0x00	rapid_press_multiplicity	read	mov eax, dword_4B7D00
0x00407521	sub_4070A0	dword_4B7D10	6	0x00	rapid_press_multiplicity	read	cmp dword_4B7D10, ebp
0x00407640	sub_4070A0	dword_4B7D20	7	0x00	rapid_press_multiplicity	read	cmp dword_4B7D20, ebp
0x0040775F	sub_4070A0	dword_4B7D30	8	0x00	rapid_press_multiplicity	read	cmp dword_4B7D30, ebp
0x00407880	sub_4070A0	dword_4B7CC0	1	0x00	rapid_press_multiplicity	read	mov eax, dword_4B7CC0
