entry_target	effective_opcode_count	effective_opcodes	route_sources	first_instruction	interpretation_limit
0x004293AC	1	52	main_table	movsx ecx, word ptr [ebx+2]	single primary entry
0x0042949D	1	53	main_table	mov eax, dword_4A9934	single primary entry
0x004294C0	1	54	main_table	mov bx, [ebx+2]	single primary entry
0x004295F3	3	55-57	main_table	mov bx, [ebx+2]	shared first entry only; handler may redispatch on opcode or use different operands
0x0042967B	1	59	main_table	mov eax, dword_4AB784	single primary entry
0x00429693	2	60-61	main_table	mov ecx, dword_4C9A18	shared first entry only; handler may redispatch on opcode or use different operands
0x004296DE	1	62	main_table	mov bx, [ebx+2]	single primary entry
0x00429A1B	1	63	main_table	lea edx, [ebx+4]	single primary entry
0x00429AD2	1	64	main_table	mov ecx, 20h	single primary entry
0x00429AE8	1	65	main_table	mov cx, [ebx+2]	single primary entry
0x00429B14	1	66	main_table	xor eax, eax	single primary entry
0x00429B62	1	67	main_table	xor eax, eax	single primary entry
0x00429BB5	1	68	main_table	mov bx, [ebx+2]	single primary entry
0x00429C37	1	69	main_table	mov bx, [ebx+2]	single primary entry
0x00429CBC	1	71	main_table	mov dx, [ebx+2]	single primary entry
0x00429D0F	1	72	main_table	mov dx, [ebx+2]	single primary entry
0x00429D43	1	74	main_table	mov dword_4A9A00, 0	single primary entry
0x00429D70	1	75	main_table	mov dx, [ebx+2]	single primary entry
0x00429DA6	1	76	main_table	mov bx, [ebx+2]	single primary entry
0x00429F7B	2	77-78	main_table	mov bx, [ebx+2]	shared first entry only; handler may redispatch on opcode or use different operands
0x0042A0A6	1	79	main_table	push 0B4h	single primary entry
0x0042A1EF	1	80	main_table	mov edx, dword_4A1360	single primary entry
0x0042A200	1	81	main_table	push 0B4h	single primary entry
0x0042A2C6	1	82	main_table	mov eax, dword_4BA6E0	single primary entry
0x0042A341	1	83	main_table	mov ax, [ebx+2]	single primary entry
0x0042A54C	1	84	main_table	mov ax, [ebx+2]	single primary entry
0x0042A611	1	85	main_table	mov ecx, dword_4A0E7C	single primary entry
