address	ida_name_navigation_only	catalog_source	code_origin	module_candidate	candidate_confidence	assignment_basis	assembly_direct_callers_address_count	assembly_direct_callees_address_count	follow_up_module	manual_review_scope	review_status
0x00436AD0	sub_436AD0	ida_export_catalog	game	rendering	confirmed_boundary	manual_module_assembly_review;manual_a2_cross_module_boundary_review	0x00408D70:2;0x00408E70:8;0x00411700:1;0x004118B0:3;0x00411FA0:1;0x00413910:1;0x004153D0:1;0x0042ED40:2;0x004302F0:1;0x00430350:1;0x004306C0:3;0x0043AAA0:5;0x0043CC20:14;0x0043E800:8;0x0043FA70:11;0x00441680:7;0x00442130:11;0x004425C0:1;0x004442B0:8;0x00447100:13;0x004490C0:10;0x0044A280:25;0x0044AE70:1;0x0044C160:23;0x0044EA60:15;0x0044FD30:6;0x00459D10:4;0x0045DEE0:18;0x00464270:1;0x004651D0:4;0x004655B0:4;0x004659C0:5;0x00465E50:4;0x00466190:3;0x00466500:3;0x004667B0:3;0x00466950:2;0x00466C00:9;0x00467710:4;0x00467AC0:2;0x00467F00:22;0x00468930:2;0x00468AD0:2;0x00468ED0:1;0x00469080:2;0x00469220:2;0x00469340:4;0x00469550:2;0x00469650:2;0x00469960:4	0x00435680:2;0x00435AF0:2;0x00435D80:2;0x00436030:2;0x00436410:2;0x004368D0:1;0x00436980:1;0x004369C0:1;0x00436EA0:4	rendering	module_candidate_manual;cross_module_boundary_a2	manual_reviewed_current_assembly
0x00436EA0	sub_436EA0	ida_export_catalog	game	rendering	medium	address_cluster:font_and_glyph_cluster;assembly_direct_call_graph:4_sites	0x00436AD0:4		rendering		mechanical_candidate_not_manually_reviewed
0x00436FA0	sub_436FA0	ida_export_catalog	game	rendering	medium	address_cluster:font_and_glyph_cluster			rendering		mechanical_candidate_not_manually_reviewed
0x00436FB0	sub_436FB0	ida_export_catalog	game	input_time_rng	confirmed_boundary	manual_critical_abi_seed;manual_a2_cross_module_boundary_review	0x00424EF0:1	0x004374E0:8;0x00487AD8:1	input_time_rng	critical_abi;cross_module_boundary_a2	manual_reviewed_current_assembly
0x004372B0	sub_4372B0	ida_export_catalog	game	input_time_rng	confirmed_boundary	manual_critical_abi_seed;manual_top_level_seed;manual_a2_cross_module_boundary_review	0x0040A570:1;0x004118B0:1		input_time_rng	critical_abi;top_level_direct;cross_module_boundary_a2	manual_reviewed_current_assembly
0x004372D0	sub_4372D0	ida_export_catalog	game	input_time_rng	confirmed_boundary	manual_module_assembly_review;manual_a2_cross_module_boundary_review	0x00402F80:22;0x004050E0:16;0x00406EB0:5;0x004118B0:1;0x00412930:1;0x004149B0:1;0x00441680:1;0x004442B0:1;0x00447100:1;0x0044C160:1;0x0045D8F0:19;0x0045F2A0:8		input_time_rng	module_candidate_manual;cross_module_boundary_a2	manual_reviewed_current_assembly
0x004372E0	sub_4372E0	ida_export_catalog	game	input_time_rng	confirmed_boundary	address_cluster:directinput_cluster;assembly_direct_call_graph:2_sites;manual_a2_cross_module_boundary_review	0x004490C0:1;0x0044C160:1		input_time_rng	cross_module_boundary_a2	manual_reviewed_current_assembly
0x00437300	sub_437300	ida_export_catalog	game	input_time_rng	confirmed_boundary	address_cluster:directinput_cluster;assembly_direct_call_graph:5_sites;manual_a2_cross_module_boundary_review	0x00406EB0:1;0x004407F0:1;0x00442F40:1;0x004455E0:1;0x0044B070:1		input_time_rng	cross_module_boundary_a2	manual_reviewed_current_assembly
0x00437310	sub_437310	ida_export_catalog	game	input_time_rng	medium	address_cluster:directinput_cluster;assembly_direct_call_graph:1_sites	0x004050E0:1		input_time_rng		mechanical_candidate_not_manually_reviewed
0x00437430	sub_437430	ida_export_catalog	game	input_time_rng	confirmed_boundary	address_cluster:directinput_cluster;assembly_direct_call_graph:8_sites;manual_a2_cross_module_boundary_review	0x00424B90:1;0x00451B10:1;0x00462740:5;0x00464270:1		input_time_rng	cross_module_boundary_a2	manual_reviewed_current_assembly
0x004374C0	sub_4374C0	ida_export_catalog	game	input_time_rng	confirmed_boundary	address_cluster:directinput_cluster;assembly_direct_call_graph:2_sites;manual_a2_cross_module_boundary_review	0x00424B90:1	0x00489654:1	input_time_rng	cross_module_boundary_a2	manual_reviewed_current_assembly
0x004374E0	sub_4374E0	ida_export_catalog	game	input_time_rng	confirmed_boundary	address_cluster:directinput_cluster;assembly_direct_call_graph:9_sites;manual_a2_cross_module_boundary_review	0x004251B0:1;0x00436FB0:8		input_time_rng	cross_module_boundary_a2	manual_reviewed_current_assembly
